Invoicing Vendor Number,Vendor,Line ID ,Invoicing Vendor Name,Invoice Line Description,PO Line Description,Extended line amount_1,Extended line amount_2,G/L Account number,Processing Date,Invoice Number,Line Number,PO Number,PO Line,Work Order Number,WO Task,Invoice gross amount_1,Invoice gross amount_2,Date invoice entered,Catalog Item Number,Catalog Item Name,Entity Number,Entity Name,Date and time of last check,Check Number,Check Date
5936,VENDOR 100,12,VENDOR 100,,ADDITIONAL ELECTRICAL WORK- FACILITIES. INV# 22963 ,592.07,USD,PR-107101-94-17-11-1322-000000,6/24/2015,               23280,1,             1300248,94,     74518,1,592.07,USD,6/24/2015,                1000,SERVICES,1STG-000-000,BISON HANDLING FACILITIES,6/26/2015 5:16,41106,6/26/2015
11761,VENDOR 170,13,VENDOR 170,,"SAND SALT ICE ROAD MIX, GRAVEL PRODUCTS",997.5,USD,PR-107101-94-17-11-1322-000000,7/8/2015,281033B,1,A150082,1,     74518,1,997.5,USD,7/8/2015,                1001,MATERIALS,1STG-000-000,BISON HANDLING FACILITIES,7/24/2015 3:37,41515,7/24/2015
10965,VENDOR 146,14,VENDOR 146,,MIXED CONCRETE,1339,USD,PR-107101-94-17-11-1322-000000,7/9/2015,               11412,1,A150045,1,     74518,1,1339,USD,7/9/2015,                1000,SERVICES,1STG-000-000,BISON HANDLING FACILITIES,7/10/2015 2:47,41289,7/10/2015
11761,VENDOR 170,15,VENDOR 170,,"SAND SALT ICE ROAD MIX, GRAVEL PRODUCTS",470.48,USD,PR-107101-94-17-11-1322-000000,7/22/2015,283855B,1,A150082,1,     74518,1,470.48,USD,7/22/2015,                1001,MATERIALS,1STG-000-000,BISON HANDLING FACILITIES,7/24/2015 3:37,41515,7/24/2015
817,VENDOR 32,16,VENDOR 32,"Receipt turned in with travel form Buffalo, Specialist  SPEEDWAY CONVENIENCE DOUGLAS",,60.36,USD,PR-107101-94-17-11-1322-000000,7/22/2015,MCJULY15,78,,,     74518,1,86444.67,USD,7/22/2015,                9600,MASTER CARD,1STG-000-000,BISON HANDLING FACILITIES,7/31/2015 1:48,7701,7/31/2015
817,VENDOR 32,17,VENDOR 32,"Receipt turned in with travel form Buffalo, Specialist  HOTEL ",,132.99,USD,PR-107101-94-17-11-1322-000000,7/22/2015,MCJULY15,79,,,     74518,1,86444.67,USD,7/22/2015,                9600,MASTER CARD,1STG-000-000,BISON HANDLING FACILITIES,7/31/2015 1:48,7701,7/31/2015
817,VENDOR 32,18,VENDOR 32,"Receipt turned in with travel form Buffalo, Specialist  FOOD LLC DOUGLAS",,27.23,USD,PR-107101-94-17-11-1322-000000,7/22/2015,MCJULY15,80,,,     74518,1,86444.67,USD,7/22/2015,                9600,MASTER CARD,1STG-000-000,BISON HANDLING FACILITIES,7/31/2015 1:48,7701,7/31/2015
817,VENDOR 32,19,VENDOR 32,"Receipt turned in with travel form Buffalo, Specialist  AUTO AND BUFFALO",,77.76,USD,PR-107101-94-17-11-1322-000000,7/22/2015,MCJULY15,81,,,     74518,1,86444.67,USD,7/22/2015,                9600,MASTER CARD,1STG-000-000,BISON HANDLING FACILITIES,7/31/2015 1:48,7701,7/31/2015
817,VENDOR 32,20,VENDOR 32,"Receipt turrned in with travel form Buffalo, Specialist  WINCHESTER FOOD BUFFALO",,33.57,USD,PR-107101-94-17-11-1322-000000,7/22/2015,MCJULY15,82,,,     74518,1,86444.67,USD,7/22/2015,                9600,MASTER CARD,1STG-000-000,BISON HANDLING FACILITIES,7/31/2015 1:48,7701,7/31/2015
1272,VENDOR 52,21,VENDOR 52,,"FASTENERS, SUPPLIES,PARTS,TOOLS",1138.93,USD,PR-107101-94-17-11-1322-000000,7/30/2015,          9303435565,1,A150119,5,     74518,1,1127.53,USD,7/30/2015,                1001,MATERIALS,1STG-000-000,BISON HANDLING FACILITIES,7/31/2015 3:51,41619,7/31/2015
1040,VENDOR 43,22,VENDOR 43,,BUILDING MATERIALS-RH  SUPPLIES/PARTS,172.69,USD,PR-107101-94-17-11-1322-000000,8/5/2015,STMT 7-21-15,1,A150021,2,     74518,1,172.69,USD,8/5/2015,                1001,MATERIALS,1STG-000-000,BISON HANDLING FACILITIES,8/7/2015 3:43,41707,8/7/2015
10199,VENDOR 126,23,VENDOR 126,,"BISON /MATERIALS , SUPPLIES,FEED,SALT/MINERAL BLOCKS",71.36,USD,PR-107101-94-17-11-1322-000000,8/31/2015,              615140,1,A150012,3,     74518,1,71.36,USD,9/2/2015,                1001,MATERIALS,1STG-000-000,BISON HANDLING FACILITIES,9/4/2015 4:01,42112,9/4/2015
1272,VENDOR 52,24,VENDOR 52,,"FASTENERS, SUPPLIES,PARTS,TOOLS",664.03,USD,PR-107101-94-17-11-1322-000000,9/22/2015,9303499260B,1,A150119,5,     74518,1,664.03,USD,9/22/2015,                1001,MATERIALS,1STG-000-000,BISON HANDLING FACILITIES,9/25/2015 3:46,42444,9/25/2015
1040,VENDOR 43,25,VENDOR 43,,MISC ITEMS FOR UNIT 1 CONTROL SYSTEM MODERNIZATION,692.15,USD,PR-107101-94-17-11-1322-000000,11/5/2015,STMT 10-21-15A,1,A150021,3,     74518,1,692.15,USD,11/5/2015,                1001,MATERIALS,1STG-000-000,BISON HANDLING FACILITIES,11/6/2015 3:54,43172,11/6/2015
12679,VENDOR 208,26,VENDOR 208,,LABOR FOR BANDANA LANE WELL PROJECT,2426.4,USD,PR-107101-94-17-11-1391-000000,11/23/2015,2015-4935,1,A150121,4,     77453,1,6758.48,USD,11/23/2015,                1000,SERVICES,1STH-000-000,RAWHIDE PASTURES & WELLS,11/25/2015 0:19,43664,11/25/2015
12679,VENDOR 208,27,VENDOR 208,,MATERIALS FOR BANDANA LANE WELL PROJECT,4332.08,USD,PR-107101-94-17-11-1391-000000,11/23/2015,2015-4935,2,A150121,5,     77453,1,6758.48,USD,11/23/2015,                1001,MATERIALS,1STH-000-000,RAWHIDE PASTURES & WELLS,11/25/2015 0:19,43664,11/25/2015
10965,VENDOR 146,28,VENDOR 146,,MIXED CONCRETE,161,USD,PR-107101-94-17-11-1391-000000,11/30/2015,               11637,1,A150045,1,     77453,1,330,USD,12/2/2015,                1000,SERVICES,1STH-000-000,RAWHIDE PASTURES & WELLS,12/4/2015 3:49,43696,12/4/2015
10965,VENDOR 146,29,VENDOR 146,,LINE 1-MIXED CONCRETE-ADDT DOLLARS,169,USD,PR-107101-94-17-11-1391-000000,11/30/2015,               11637,2,A150045,4,     77453,1,330,USD,12/2/2015,                1000,SERVICES,1STH-000-000,RAWHIDE PASTURES & WELLS,12/4/2015 3:49,43696,12/4/2015
817,VENDOR 32,30,VENDOR 32,Breakfast trip to Pittsburgh for Ovation FAT EAT_N_PARK #0040 TARENTUM,,9.18,USD,PR-107101-94-17-11-1515-000000,9/25/2015,MCSEP15,46,,,,,121291.22,USD,9/25/2015,                9600,MASTER CARD,,,9/29/2015 5:54,7781,9/29/2015
1850,VENDOR 69,31,VENDOR 69,,WOODS 20' MOWER 1000PTO SAFETY CHAINS OR RUBBER GUARD OPTIONAL SERIAL # 1218268,19500,USD,PR-107101-94-17-11-1588-000000,4/23/2015,                7749,1,             1500523,1,     74812,1,19500,USD,4/23/2015,               15398,WOODS 20' MOWER 1000PTO SAFETY CHAINS OR RUBBER GUARD OPTIONAL SERIAL # 1218268,1VEH-000-000,MISC STEAM PLANT/VEHICLES,4/24/2015 5:49,40289,4/24/2015
953,VENDOR 41,32,VENDOR 41,,FURN FP M14CE-E-262 45PRTWHT 760118232,118.58,USD,PR-107101-94-17-11-1592-000000,8/13/2015,           980240967,1,             1501296,7,     76806,1,201.29,USD,8/13/2015,               15716,FURN FP M14CE-E-262 45PRTWHT 760118232,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,8/28/2015 3:02,42012,8/28/2015
953,VENDOR 41,33,VENDOR 41,,MGS400BH-246 MOD ELEC WHITE700206725,82.71,USD,PR-107101-94-17-11-1592-000000,8/13/2015,           980240967,2,             1501296,3,     76806,1,201.29,USD,8/13/2015,               15712,MGS400BH-246 MOD ELEC IVY 700206717,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,8/28/2015 3:02,42012,8/28/2015
953,VENDOR 41,34,VENDOR 41,,100P4 BK BLOCK 25/C4 CONN,23.27,USD,PR-107101-94-17-11-1592-000000,8/13/2015,           980251998,1,             1501296,6,     76806,1,7528.72,USD,8/13/2015,               15715,100P4 BK BLOCK 25/C4 CONN,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,8/28/2015 3:02,42012,8/28/2015
953,VENDOR 41,35,VENDOR 41,,"CABLE, 700208101 2071E WH 4/23 W1000  ROLLS OF 1000'",4568.64,USD,PR-107101-94-17-11-1592-000000,8/13/2015,           980251998,2,             1501296,1,     76806,1,7528.72,USD,8/13/2015,               15710,"CABLE, 700208101 2071R WH 4/23 W1000  CAT 6P4P24-WH-P-MAX-AP ROLLS OF 1000'",1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,8/28/2015 3:02,42012,8/28/2015
953,VENDOR 41,36,VENDOR 41,,CABLE 700214372 2071E SL 4/23 W1000  ROLL OF 1000',2284.32,USD,PR-107101-94-17-11-1592-000000,8/13/2015,           980251998,3,             1501296,2,     76806,1,7528.72,USD,8/13/2015,               15711,CABLE 700214372 2071E SL 4/23 W1000  ROLL OF 1000',1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,8/28/2015 3:02,42012,8/28/2015
953,VENDOR 41,37,VENDOR 41,,MGS400BH-246 MOD ELEC WHITE700206725,101.09,USD,PR-107101-94-17-11-1592-000000,8/13/2015,           980251998,4,             1501296,3,     76806,1,7528.72,USD,8/13/2015,               15712,MGS400BH-246 MOD ELEC IVY 700206717,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,8/28/2015 3:02,42012,8/28/2015
953,VENDOR 41,38,VENDOR 41,,MGS400BH-318 MODULE BLUE 700206758,367.6,USD,PR-107101-94-17-11-1592-000000,8/13/2015,           980251998,5,             1501296,5,     76806,1,7528.72,USD,8/13/2015,               15714,MGS400BH-318 MODULE BLUE 700206758,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,8/28/2015 3:02,42012,8/28/2015
953,VENDOR 41,39,VENDOR 41,,MGS400BH-270 MOD ELEC GRY 700206733,183.8,USD,PR-107101-94-17-11-1592-000000,8/13/2015,           980251998,6,             1501296,4,     76806,1,7528.72,USD,8/13/2015,               15713,MGS400BH-270 MOD ELEC GRY 700206733,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,8/28/2015 3:02,42012,8/28/2015
1903,VENDOR 74,40,VENDOR 74,,OFFICE FURNITURE FOR  ADMIN AREA DELIVERY/INSTALL  QUOTE 44070,71956.21,USD,PR-107101-94-17-11-1592-000000,9/10/2015,              242595,1,             1501324,1,     76806,1,71956.21,USD,9/10/2015,                1001,MATERIALS,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,9/11/2015 4:28,42219,9/11/2015
1903,VENDOR 74,41,VENDOR 74,,OFFICE FURNITURE FOR  ES ANSWER OPTION CMB QUOTE 44029,17708.13,USD,PR-107101-94-17-11-1592-000000,9/18/2015,              242691,1,             1501324,2,     76806,1,17708.13,USD,9/18/2015,                1001,MATERIALS,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,9/18/2015 1:15,42369,9/18/2015
817,VENDOR 32,42,VENDOR 32,Cable raceway for RH phone closet   ELECTRIC COMPANY 03145739200,,53.51,USD,PR-107101-94-17-11-1592-000000,9/25/2015,MCSEP15,504,,,     76806,1,121291.22,USD,9/25/2015,                9600,MASTER CARD,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,9/29/2015 5:54,7781,9/29/2015
817,VENDOR 32,43,VENDOR 32,Cable raceway for RH phone closet   ELECTRIC COMPANY 03145739200,,116.51,USD,PR-107101-94-17-11-1592-000000,9/25/2015,MCSEP15,506,,,     76806,1,121291.22,USD,9/25/2015,                9600,MASTER CARD,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,9/29/2015 5:54,7781,9/29/2015
817,VENDOR 32,44,VENDOR 32,Cable raceway for RH phone closet   ELECTRIC COMPANY 03145739200,,109.32,USD,PR-107101-94-17-11-1592-000000,9/25/2015,MCSEP15,507,,,     76806,1,121291.22,USD,9/25/2015,                9600,MASTER CARD,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,9/29/2015 5:54,7781,9/29/2015
817,VENDOR 32,45,VENDOR 32,Cables for RH furniture   ONLINE_RETAILER MKTPLACE PMTS ONLINE_RETAILER.COMBILL,,97.29,USD,PR-107101-94-17-11-1592-000000,9/25/2015,MCSEP15,508,,,     76806,1,121291.22,USD,9/25/2015,                9600,MASTER CARD,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,9/29/2015 5:54,7781,9/29/2015
5936,VENDOR 100,46,VENDOR 100,,ELECTRICAL CAPITAL WORK REROUTING AND INSTALL POWER AT RH CUBICLES,7015.7,USD,PR-107101-94-17-11-1592-000000,9/30/2015,               24616,1,             1300248,116,     76806,1,7015.7,USD,9/30/2015,                1000,SERVICES,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,10/2/2015 7:06,42571,10/2/2015
1903,VENDOR 74,47,VENDOR 74,,FURNITURE FOR  RECEPTIONIST  QUOTE 44350,9070.6,USD,PR-107101-94-17-11-1592-000000,10/9/2015,              243065,1,             1501504,1,     76806,1,9070.69,USD,10/9/2015,                1001,MATERIALS,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,10/16/2015 4:24,42840,10/16/2015
5936,VENDOR 100,48,VENDOR 100,,LINE 116-ELECTRICAL CAPITAL WORK REROUTING AND INSTALL POWER AT RH CUBICLES-ADDT DOLLARS,88.16,USD,PR-107101-94-17-11-1592-000000,10/20/2015,               24988,1,             1300248,118,     76806,1,88.16,USD,10/20/2015,                1000,SERVICES,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,10/23/2015 6:48,42934,10/23/2015
1903,VENDOR 74,49,VENDOR 74,,DELIVERY/DESIGN/INSTALLATION QUOTE 44904  DATED 10/7/15,218,USD,PR-107101-94-17-11-1592-000000,12/15/2015,              243648,1,             1501950,3,     76806,1,340.46,USD,12/15/2015,                1110,FREIGHT CHARGES,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,12/18/2015 8:26,44009,12/18/2015
1903,VENDOR 74,50,VENDOR 74,,"TS72436HS STEELCASE PANEL SKIN-HARD SURFACE, 24H X 36W SURFACE :7238 FIELDSTONE OPTIONS * * OPTIONS * * SURF OPT *OPT:SURFACE OPTIONS PLAINSTL STD:PLAIN STEEL SURFACE QUOTE 44904  DATED 10/7/15",44.46,USD,PR-107101-94-17-11-1592-000000,12/15/2015,              243648,2,             1501950,1,     76806,1,340.46,USD,12/15/2015,               16178,"TS72436HS STEELCASE PANEL SKIN-HARD SURFACE, 24H X 36W SURFACE :7238 FIELDSTONE OPTIONS * * OPTIONS * * SURF OPT *OPT:SURFACE OPTIONS PLAINSTL STD:PLAIN STEEL SURFACE QUOTE 44904  DATED 10/7/15",1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,12/18/2015 8:26,44009,12/18/2015
1903,VENDOR 74,51,VENDOR 74,,"TS73648HS STEELCASE PANEL SKIN-HARD SURFACE, 36H X 48W SURFACE :7238 FIELDSTONE QUOTE 44904  DATED 10/7/15",78,USD,PR-107101-94-17-11-1592-000000,12/15/2015,              243648,3,             1501950,2,     76806,1,340.46,USD,12/15/2015,               16179," TS73648HS STEELCASE PANEL SKIN-HARD SURFACE, 36H X 48W SURFACE :7238 FIELDSTONE QUOTE 44904  DATED 10/7/15",1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,12/18/2015 8:26,44009,12/18/2015
1903,VENDOR 74,52,VENDOR 74,,DELIVERY/DESIGN/INSTALLATION QUOTE 44632 DATED 9/15/15,218,USD,PR-107101-94-17-11-1592-000000,12/15/2015,              243664,1,             1501950,6,     76806,1,398.96,USD,12/15/2015,                1110,FREIGHT CHARGES,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,12/18/2015 8:26,44009,12/18/2015
1903,VENDOR 74,53,VENDOR 74,,"WS2448 STEELCASE WORKSURFACE-STRAIGHT, FULL DEPTH, 24D X 48W EDGE :6654 SAND TOP-SURF:2922 CLAY MICRO OPTIONS * * OPTIONS * * WKSF OPT *OPT:WORKSURFACE OPTION QUOTE 44632 DATED 9/15/15",101.4,USD,PR-107101-94-17-11-1592-000000,12/15/2015,              243664,2,             1501950,5,     76806,1,398.96,USD,12/15/2015,               16181,"WS2448 STEELCASE WORKSURFACE-STRAIGHT, FULL DEPTH, 24D X 48W EDGE :6654 SAND TOP-SURF:2922 CLAY MICRO OPTIONS * * OPTIONS * * WKSF OPT *OPT:WORKSURFACE OPTION QUOTE 44632 DATED 9/15/15",1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,12/18/2015 8:26,44009,12/18/2015
1903,VENDOR 74,54,VENDOR 74,,"UCANT STEELCASE CANTILEVER, ON MODULE APPLICATION, 16W X 13D BASIC :7238 FIELDSTONE QUOTE 44632 DATED 9/15/15",79.56,USD,PR-107101-94-17-11-1592-000000,12/15/2015,              243664,3,             1501950,4,     76806,1,398.96,USD,12/15/2015,               16180,"UCANT STEELCASE CANTILEVER, ON MODULE APPLICATION, 16W X 13D BASIC :7238 FIELDSTONE QUOTE 44632 DATED 9/15/15",1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,12/18/2015 8:26,44009,12/18/2015
2252,VENDOR 84,55,VENDOR 84,,"MODEL MT555 TRACTOR  PER AGREEMENT DATED 2/5/2015 $168,930.00 LESS TRADE IN ALLOWANCE FOR MT465B CHALLENGER AGCO 2004  SN N264075 ($26000.00)",142930,USD,PR-107101-94-17-11-1602-000000,5/27/2015,B0870601,1,             1500528,1,     74143,1,142930,USD,5/27/2015,               15294,"MODEL MT555 TRACTOR  PER AGREEMENT DATED 2/5/2015 $168,930.00 LESS TRADE IN ALLOWANCE FOR MT465B CHALLENGER AGCO 2004  SN N264075 ($26000.00)",1VEH-000-000,MISC STEAM PLANT/VEHICLES,6/5/2015 4:34,40877,6/5/2015
1903,VENDOR 74,56,VENDOR 74,,X1BI24487 STEELCASE CORE UNIT-CORNER QUOTE 43115 DATED 4/10/15,1022.54,USD,PR-107101-94-17-11-1611-000000,7/7/2015,              241991,1,             1500740,13,     74717,2,9683.33,USD,7/7/2015,               14019,X1BI24487 STEELCASE CORE UNIT-CORNER QUOTE 38423 DATED 11/25/13,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,7/10/2015 2:47,41326,7/10/2015
1903,VENDOR 74,57,VENDOR 74,,"X1NI2378K STEELCASE  CORE UNIT-CORNER, EXTENDED, INSIDE / INSIDE SUPPORTS, ADJUSTABLE KEYBOARD, RIGHT HAND, 24DL X 30DR X 48WL X 78WR QUOTE 43115 DATED 4/10/15 ",1495.54,USD,PR-107101-94-17-11-1611-000000,7/7/2015,              241991,2,             1500740,4,     74717,2,9683.33,USD,7/7/2015,               15497,"X1NI2378K STEELCASE  CORE UNIT-CORNER, EXTENDED, INSIDE / INSIDE SUPPORTS, ADJUSTABLE KEYBOARD, RIGHT HAND, 24DL X 30DR X 48WL X 78WR QUOTE 43115 DATED 4/10/15 ",1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,7/10/2015 2:47,41326,7/10/2015
1903,VENDOR 74,58,VENDOR 74,,"A7LE40165819B DETAILS SERIES7; BASE-90 DEGREE, EXTENDED,  46WX70W WORKSURFACE APPLICATION 18D TO 29D APPLICATION QUOTE 43115 DATED 4/10/15",1633.02,USD,PR-107101-94-17-11-1611-000000,7/7/2015,              241991,3,             1500740,8,     74717,2,9683.33,USD,7/7/2015,               14532,"A7LE40165819B DETAILS SERIES7; BASE-90 DEGREE, EXTENDED,  46WX70W WORKSURFACE APPLICATION 18D TO 29D APPLICATION QUOTE#39130 DATED 02/26/14",1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,7/10/2015 2:47,41326,7/10/2015
1903,VENDOR 74,59,VENDOR 74,,DELIVERY/INSTALL QUOTE 43115 DATED 4/10/15,458,USD,PR-107101-94-17-11-1611-000000,7/7/2015,              241991,4,             1500740,17,     74717,2,9683.33,USD,7/7/2015,                1110,FREIGHT CHARGES,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,7/10/2015 2:47,41326,7/10/2015
1903,VENDOR 74,60,VENDOR 74,,DESIGN/LAYOUT QUOTE 13115 4/10/15,150,USD,PR-107101-94-17-11-1611-000000,7/7/2015,              241991,5,             1500740,18,     74717,2,9683.33,USD,7/7/2015,                1000,SERVICES,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,7/10/2015 2:47,41326,7/10/2015
1903,VENDOR 74,61,VENDOR 74,,LABOR/DELIVERY,50,USD,PR-107101-94-17-11-1611-000000,7/7/2015,              241991,6,             1500740,20,     74717,2,9683.33,USD,7/7/2015,                1110,FREIGHT CHARGES,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,7/10/2015 2:47,41326,7/10/2015
1903,VENDOR 74,62,VENDOR 74,,LSM24K STEELCASE LIGHT SHELF QUOTE 43115 DATED 4/10/15,170.71,USD,PR-107101-94-17-11-1611-000000,7/7/2015,              241991,7,             1500740,9,     74717,2,9683.33,USD,7/7/2015,               14032,LSM24K STEELCASE LIGHT SHELF QUOTE 38423 DATED 11/25/13,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,7/10/2015 2:47,41326,7/10/2015
1903,VENDOR 74,63,VENDOR 74,,475415M STEELCASE PLAYER; CHAIR-LEG BASE QUOTE 43115 DATED 4/10/15,348.3,USD,PR-107101-94-17-11-1611-000000,7/7/2015,              241991,8,             1500740,14,     74717,2,9683.33,USD,7/7/2015,               13974,475415M  STEELCASE PLAYER; CHAIR-LEG BASE QUOTE 38249 DATED 11/25/13,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,7/10/2015 2:47,41326,7/10/2015
1903,VENDOR 74,64,VENDOR 74,,"BX36 STEELCASE BASE-X, 36W QUOTE 43115 DATED 4/10/15",177.59,USD,PR-107101-94-17-11-1611-000000,7/7/2015,              241991,9,             1500740,2,     74717,2,9683.33,USD,7/7/2015,               15499,"BX36 STEELCASE BASE-X, 36W QUOTE 43115 DATED 4/10/15",1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,7/10/2015 2:47,41326,7/10/2015
1903,VENDOR 74,65,VENDOR 74,,"LSM36K STEELCASE LIGHT-SHELF, 25 WATT, ELECTROIC BALLAST LAMP, 9 FOOT CORD, 37W QUOTE 43115 DATED 4/10/15",181.03,USD,PR-107101-94-17-11-1611-000000,7/7/2015,              241991,10,             1500740,6,     74717,2,9683.33,USD,7/7/2015,               14540,"LSM36K STEELCASE LIGHT-SHELF, 25 WATT, ELECTROIC BALLAST LAMP, 9 FOOT CORD, 37W QUOTE # 39130 DATED 2/26/14",1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,7/10/2015 2:47,41326,7/10/2015
1903,VENDOR 74,66,VENDOR 74,,X3D000364 STEELCASE SCREEN-CORE MOUNT QUOTE 43115 DATED 4/10/15,196.08,USD,PR-107101-94-17-11-1611-000000,7/7/2015,              241991,11,             1500740,15,     74717,2,9683.33,USD,7/7/2015,               13517,X3D000364 STEELCASE SCREEN-CORE MOUNT QUOTE 37160 DATED 7/18/13,1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,7/10/2015 2:47,41326,7/10/2015
1903,VENDOR 74,67,VENDOR 74,,"BFR42 STEELCASE TABLE-ROUND, 42 DIA EDGE :6698 FIELDSTONE TOP-SURF:2922 CLAY MICRO QUOTE 43115 DATED 4/10/15",200.38,USD,PR-107101-94-17-11-1611-000000,7/7/2015,              241991,12,             1500740,1,     74717,2,9683.33,USD,7/7/2015,               15500,"BFR42 STEELCASE TABLE-ROUND, 42 DIA EDGE :6698 FIELDSTONE TOP-SURF:2922 CLAY MICRO QUOTE 43115 DATED 4/10/15",1BSC-BLD-ADMIN,BUILDING ADMINISTRATION,7/10/2015 2:47,41326,7/10/2015
