Activity Code,Activity Description,Expense Code ,Expense Code Description,Expense Code Category ,Account Number ,Account Description 
1058,Sodium Analyzer,55,Computer Equipment (Minor)   ,Materials and Expenses,136106,Temporary Cash Investment  – Colotrust Revenue Fund 
1059,Trolley Beam Design,56,Environmental Expenses    ,Materials and Expenses,136110,Temporary Cash Investment  – Solomon Smith BarneyMoney MoneyMoney
1060,Conveyor Belt Replacement,57,Wheeling Expense    ,Materials and Expenses,136203,Temporary Cash Investment  - Reserve and ContingencyFund FundFund
1061,Y2K Project,58,Outage Accrual    ,Materials and Expenses,136205,Temporary Cash Investment  - Rate Stabilization Fund 
1062,Metal Detector Replacement,59,,Materials and Expenses,136207,Temporary Cash Investment  - Debt Management ReserveFund FundFund
1063,ACSS Transfer Building Door,60,,Contractual Services,136211,Temporary Cash Investment  – Debt Management ReserveFund FundFund
1064,Rail Car Repair Facility,61,Professional Services    ,Contractual Services,136215,Market Value Adjustment  - Debt Management ReserveFund FundFund
1065,DFR Buss 101 102,62,Contracted Services    ,Contractual Services,136220,Temporary Cash Investment  – Bond Service Fund/Series EE
1066,Steam Line Insulation Blankets,63,Corporate Insurance    ,Contractual Services,136221,Market Value Adjustment  – Bond Service Fund/Series EE
1067,Generator Flux Probe,64,Travel Expenses    ,Contractual Services,136222,Temporary Cash Investment  – Generation Reserve Fund 
1068,RCD Door 213 Upgrade,65,Training Registration and Materials  ,Contractual Services,136223,Temporary Cash Investment  – Construction Account Fund 
1069,Chlorine Analyzers,66,Telephone Expenses    ,Contractual Services,136224,Market Value Adjustment  – Construction Account Fund 
1070,Work Platforms,67,Utilities     ,Contractual Services,136228,Temporary Cash Investment  – Bond Service Fund/Series GG
1081,Install New Watt Hour Meters,68,"Dues, Memberships and Fees  ",Contractual Services,136229,Market Value Adjustment  – Bond Service Fund/Series GG 
1082,Boiler Ammonia Analyzer,69,,Contractual Services,136230,Temporary Cash Investment  – Bond Service Funds/Series HH
1083,Concrete Heavy Eqpmt Traffic Area,70,Trustee Fees    ,Contractual Services,136231,Temporary Cash Investment  – Series HH ProjectFund FundFund
1084,Condensate Makeup Line,71,,Contractual Services,136232,Market Value Adjustment  – Series HH ProjectFund FundFund
1085,Current IDs for Atomizer Moters,72,Leases and Rents   ,Contractual Services,136233,Market Value Adjustment  – Bond Service Funds/Series SeriesSeries
1086,Dumper Control Upgrade,73,Economic Development    ,Contractual Services,142101,Customer Accounts Receivable  – Fort Collins  
1087,Environmental Data Acq Sys Sftw Upg,74,Fiscal Impact Payment – Moffat County,Contractual Services,142102,Customer Accounts Receivable  – Longmont   
1089,Hazard & Indust Waste Sat Coll Bldg,75,Demand Side Management Incentives  ,Contractual Services,142103,Customer Accounts Receivable  – Loveland   
1090,Machine Shop Equip,76,,Contractual Services,142104,Customer Accounts Receivable  – Estes Park  
1091,PRS Allen Bradley PLC Upgrade,77,,Contractual Services,142201,Customer Accounts Receivable  – Public Service Companyof ofof
1092,Rail Car Purchase,78,,Contractual Services,142203,Customer Accounts Receivable  – Other Surplus Sales 
1094,Real Time Performance Monitor,79,,Contractual Services,142301,Customer Accounts Receivable  – CAMU   
1095,Recycle Bin Leval Sensing System,80,,Fixed Expenses,142401,Customer Accounts Receivable  – Distribution Maintenance  
1096,Secondary Superheater Tube Modif,81,Interest Expense    ,Fixed Expenses,142402,Customer Accounts Receivable  – CIS   
1097,Sootblowing Upgrade,82,Principal Payments    ,Fixed Expenses,142403,Customer Accounts Receivable  – Fiber   
1098,Stack Opacity Monitor Replacement,83,Other Financing Expenses   ,Fixed Expenses,142404,Customer Accounts Receivable  – Other   
1099,Water Mgmt Microfiltration System,84,Special Deposits    ,Fixed Expenses,142405,Customer Accounts Receivable  – Tower Leases  
1100,Sulphur Dioxide Monitor,85,,Fixed Expenses,143101,Other Accounts Receivable  – General   
1101,1999 Wind Generation Facilities,86,,Fixed Expenses,143102,Other Accounts Receivable  – Employee   
1102,Replace Fuel Air Damper Actuator,87,,Fixed Expenses,143103,Other Accounts Receivable  – Power Exchanges  
1103,Peaking Resource Unit A,88,Depreciation Expense    ,Fixed Expenses,151101,Fuel Stock –  Coal    
1104,Natural Gas Pipeline,89,Amortization Expense    ,Fixed Expenses,151102,Fuel Stock –  Oil    
1105,Atomizer Wheel Protection Water Flow Transmitter,90,Capitalized Interest Expense   ,Capital Additions,154101,Plant Inventory –  Limestone YAMPA   
1106,PRS Sludge Pumps,91,,Capital Additions,154102,Plant Inventory –  Materials and Supplies  
1107,Air Heater Sector Plate Control,92,,Capital Additions,154103,Plant Inventory –  Clearing Account (Received NotInvoiced) Invoiced)Invoiced)
1108,Dumper Clamp Hydraulic Controls,93,,Capital Additions,154104,Outage Inventory       
1109,Jordan Amplifiers,94,Capital Materials and Supplies  ,Capital Additions,163101,Stores Expense –  Undistributed    
1110,Chemical Storage Tank Replacements,95,Capital Contracted Services   ,Capital Additions,163102,Stores – Clearing      
1111,Allen Bradley Programming Software Upgrade,96,,Capital Additions,165101,Prepayments – Property  Insurance    
1112,Demineralizer Silica Analyzer,97,,Capital Additions,165102,Prepayments – Windy  Gap Assessment   
1114,Cathodic Protection System - Underground Pipe,98,Capital Reimbursements    ,Capital Additions,165103,Prepayments – Other      
1115,Dual Headed Workstation for SDA,99,Capital Transfers    ,Capital Additions,165104,Prepayments – Computer  Maintenance    
1116,Lime Slurry Density Meters,,,,165201,Prepayments – Natural  Gas Imbalance   
1118,Paperless Records/Control Room,,,,165202,Prepayments – Pension  Costs    
1119,Foxboro Environmental Data Acquisition Sys Software0.00,,,,172201,Notes Receivable –  Western States Power CorporationLoan LoanLoan
1120,Rotary Car Dumper PLC Upgrade,,,,172202,Notes Receivable –  Trapper Mine   
1121,Network Expansion from Scrubber to Water Treatment,,,,173101,Accrued Utility Revenues  – Renewables   
1122,Ammonia Feed System Upgrade,,,,174101,Accrued Interest Receivable  – Revenue Fund  
1123,Rawhide Remodel,,,,174104,Accrued Interest Receivable  – General Fund  
1124,Wind Project - Phase III,,,,174105,Accrued Interest Receivable  – General Fund/Long-Term  
1125,Rawhide Water Lab Annunciator System,,,,174119,Accrued Interest Receivable  – Thompson School DistrictLease LeaseLease
1126,Upgrade Plant Instrumentation,,,,174120,Accrued Interest Receivable  – Western States PowerCorporation CorporationCorporation
1127,Whse #2 Air Conditioner Replacement,,,,174121,Accrued Interest Receivable  – Trapper Mine  
1128,LT/SH & Economizer Assembly Change,,,,174203,Accrued Interest Receivable  – Reserve and ContingencyFund FundFund
1129,Inverter & Station Battery Replacement,,,,174205,Accrued Interest Receivable  – Rate Stabilization Fund 
1130,Rawhide Base Radio Replacement,,,,174207,Accrued Interest Receivable  – Debt Management ReserveFund FundFund
1131,Flame Scanners,,,,174218,Accrued Interest Receivable  – Resource and ReserveFund FundFund
1132,Boiler Cleaning Manager,,,,174219,Accrued Interest Receivable  – Bond Service Fund/SeriesEE EEEE
1133,Water Management PH Meter Replacement,,,,174221,Accrued Interest Receivable  – Generation Reserve Fund 
1134,Boiler Feed Pump Motor Rotor Replacement,,,,174223,Accrued Interest Receivable  – Construction Account Fund 
1135,Air Quality Control Improvements,,,,174224,Accrued Interest Receivable  – Bond Service Fund/SeriesGG GGGG
1136,Belt Scale Test Chain Hoist,,,,174225,Accrued Interest Receivable  – Bond Service Fund/SeriesHH HHHH
1138,Digital Electrical Hydraulic (DEH) Control System U0.00,,,,174226,Accrued Interest Receivable  – Series HH ProjectFund FundFund
1139,Diesel Generator Protective Relay Replacement,,,,181112,Unamortized Debt Expense  – Series EE Refunding RefundingRefunding
1140,Flame Scanning and Safety System Upgrade,,,,181113,Unamortized Debt Expense  – Series EE Reimburse ReimburseReimburse
1141,Kitchen & Restroom Remodel,,,,181115,Unamortized Debt Expense  – Series GG Bonds 
1142,Lime Feed Equipment Upgrade,,,,181116,Unamortized Debt Expense  – Series HH Bonds 
1143,Montgomery Elevator Safety Edge,,,,183101,Preliminary Production Projects      
1144,Potable Water Particle Counter Addition,,,,183201,Preliminary Transmission Projects      
1145,Polymer Feeder Upgrade,,,,183301,Preliminary General Projects      
1146,Rawhide Pump Station Annunciator,,,,184101,Clearing Account –  Interbank Transfers   
1147,Spray Dryer Absorber Inlet CO Monitor,,,,184102,Clearing Account –  Special Fund Transfers  
1148,Turbine Tool Trailer,,,,184103,Clearing Account –  Rate Stabilization Transfers  
1150,Rawhide Physical Security,,,,184104,Clearing Account –  Pension and Benefits  
1151,Inverter Battery & Charge System Replacement,,,,184105,Clearing Account –  Payroll    
1152,Slaking Water Heater Replacement,,,,184106,Clearing Account –  Bond Proceeds   
1153,Generator Through Bolt Project,,,,184107,Clearing Account –  Group Term Life  
1154,Bentley Nevada Vibration Monitor,,,,184108,Clearing Account –  Visa Charges   
1155,Peaking Resource Unit B,,,,184109,Clearing Account –  CIP Charges   
1156,Peaking Resource Unit C,,,,184110,Clearing Account –  Wind Turbine Principal  
1157,Replace Aux Boiler Level Switch,,,,186102,Deferred Pension Expense      
1158,Economizer Outlet Water Sample,,,,186107,Deferred Trapper Post-Mining  Reclamation Costs   
1159,Boiler Feed Pump 101 Motor,,,,189112,Unamortized Debt Loss  – Series EE BondsRefunding RefundingRefunding
1160,2001 Rail Car Purchase,,,,189113,Unamortized Debt Loss  – Series EE BondsReimburse ReimburseReimburse
1161,Diesel Generator Exhaust Pipe,,,,189115,Unamortized Debt Loss  – Series GG Bonds 
1162,Boiler Feed Pump 102 Motor,,,,211101,Miscellaneous Paid in Capital
1163,A H Sootblower Safety Valve,,,,216101,Accumulated Net Revenues      
1164,Bentley Foxboro Interface Project,,,,216102,Unrealized Holding –  Gain/Loss    
1166,Chemical Feed Line from Railroad,,,,216103,Distributed Accumulated Net  Revenues – Longmont  
1167,Lighting in Warehouse 2,,,,216104,Distributed Accumulated Net  Revenues – Fort Collins 
1169,Wind Project Phase IV,,,,216105,Distributed Accumulated Net  Revenues – Loveland  
1171,Condensate Pump Motor Replacement,,,,216106,Distributed Accumulated Net  Revenues – Estes Park 
1172,Dust Suppression Application System,,,,221112,Bonds Outstanding –  Series EE Refunding  
1173,Force Draft Fan Motor Replacement,,,,221113,Bonds Outstanding –  Series EE Reimburse  
1174,Foxboro Control System Workstation Upgrades,,,,221115,Bonds Outstanding –  Series GG   
1175,Generator Hydrogen Purity Motor,,,,221116,Bonds Outstanding –  Series HH   
1176,Generator Protective Relaying,,,,224101,Other Long-Term Debt – Loveland Lease
1177,Generator Retaining Ring Modification,,,,224103,Other Long-Term Debt – Windy Gap
1179,Jordan Amplifier and Damper Drive Replacement,,,,225102,Unamortized Premium –  Series EE Bonds Refunding 
1180,Meteorological Site Upgrade,,,,225103,Unamortized Premium –  Series EE Bonds Reimburse 
1181,Portabel Electrical Distribution Center,,,,225105,Unamortized Premium –  Series GG Bonds  
1182,Primary Air Fan Motor Replacement,,,,225106,Unamortized Premium –  Series HH Bonds  
1183,Replace Bottom Ash Grinders,,,,228101,Deferred Compensation Liability  – ICMA   
1186,Pipeline Relocation at Taft Hill Bridge,,,,228103,Deferred Compensation Liability  – PEBSCO   
1187,Voltage Regulator Replacement,,,,228104,Deferred Compensation Liability  – Money Purchase Plan– ––
1188,Update Ash Silo Dry Unloading System,,,,228201,Deferred Long-Term Liability  – Trapper G.E. RoyaltyPayable PayablePayable
1189,Potable Water TOC Analyzer,,,,228202,Deferred Long-Term Liability  – Trapper Post-Mining ReclamationPayable PayablePayable
1190,Water Cannon Project,,,,228203,Deferred Long-Term Liability  – Rawhide Solid WasteFacilities FacilitiesFacilities
1193,Watt Hour Meters,,,,228204,Deferred Long-Term Liability  – Long Term AccruedOutage OutageOutage
1194,Boiler Building Fire Panel Replacement,,,,228205,Deferred Long-Term Liability  – Wind Turbine Reimbursement 
1195,Bottom Ash Switch and Indicator Light Replacement,,,,228206,Deferred Long-Term Liability  – Employee Leave Payable 
1196,Chlorine Gas Cylinder Shut Off Valve,,,,232101,Accounts Payable –  Purchased Power   
1197,Control Building Condenser Unit Replacement,,,,232102,Accounts Payable –  Power Exchanges   
1198,Demineralizer Water Quality Monitoring,,,,232103,Accounts Payable –  Natural Gas   
1199,Dumper Haulage Motor Control Upgrade,,,,232201,Accounts Payable –  General Fund   
1200,Electric Hydraulic Fluid Conditioning System,,,,232202,Accounts Payable –  Revenue Fund   
1201,Halon Fire System Replacement,,,,232203,Accounts Payable –  Receipts Not Invoiced  
1202,Honeywell Loveland Calibrator,,,,232204,Accounts Payable –  Unclaimed Property   
1205,Building Walkway from SDA to Fabric Filter,,,,232205,Accounts Payable –  Coal Purchases   
1207,Security Gates,,,,232206,Accounts Payable –  Burlington Northern Coal Transportation 
1208,Start Up Hydrazine Ammonia Chemical Feed Line,,,,232207,Accounts Payable –  Windy Gap   
1210,Warehouse No 1 Remodel,,,,232301,Accounts Payable –  Employee Withholdings – UnitedWay WayWay
1211,Warehouse No 3 Remodel,,,,232302,Accounts Payable –  Employee Withholdings – ICMA 
1212,Microwave Communication System,,,,232303,Accounts Payable –  Employee Withholdings – PRPEA 
1213,Acrylate (PAA) Pump Skid,,,,232307,Accounts Payable –  Employee Withholdings – SavingsBonds BondsBonds
1214,Potable Water Filter Underdrain & Backwash Valve Cn0.00,,,,232308,Accounts Payable –  Employee Withholdings – WageAssignment AssignmentAssignment
1215,Peaking Resource Unit D,,,,232310,Accounts Payable –  Employee Withholdings – DependentCare CareCare
1216,Rawhide Landscaping Project,,,,232311,Accounts Payable –  Employee Withholdings – PEBSCO 
1217,ERT Training Building,,,,232312,Accounts Payable –  Employer Contribution – HealthSavings SavingsSavings
1218,Rawhide Lighting Retrofit,,,,232313,Accounts Payable –  Employee Withholdings – HealthSavings SavingsSavings
1219,Admin Building Condensing Units,,,,232314,Accounts Payable –  Employee Withholdings – MoneyPurchase PurchasePurchase
1220,Safety Office Remodel,,,,232316,Accounts Payable –  Employee Withholdings – Commute 
1223,Control Room Workstation Changeout,,,,232317,Accounts Payable –  Employee Withholdings – LifeInsurance InsuranceInsurance
1224,Control System for Condenser Cleaning,,,,232319,Accounts Payable –  Employee Withholdings – CellPhone PhonePhone
1226,Emmissions Compliance (Nox),,,,232332,Accounts Payable –  Employee Withholdings – FlexSpending SpendingSpending
1227,Fencing in Pasture 105,,,,232333,Accounts Payable –  Employee Withholdings – FlexSpending SpendingSpending
1228,Foxboro Spec 200 Analog Control Replacement,,,,232334,Accounts Payable –  Employee Withholdings – FlexSpending SpendingSpending
1229,Generator Protective Relays,,,,232335,Accounts Payable –  Employee Withholdings – FlexSpending SpendingSpending
1230,ITT Gould on 4160 Bus,,,,232340,Accounts Payable –  Defined Contribution – MandatoryEmployee EmployeeEmployee
1231,LP Turbine Modernization,,,,232341,Accounts Payable –  Defined Contribution – EmployerMatch MatchMatch
1232,MS and MRH Outlet Links Replacement,,,,232342,Accounts Payable –  Defined Contribution – EmployerMatch MatchMatch
1233,Rawhide Unit D Step-Up Transformer,,,,232343,Accounts Payable –  Defined Contribution – EmployeeContribution ContributionContribution
1234,Recycle Pressure Feed System Replacement,,,,237113,Accrued Interest –  Series EE Bonds  
1235,Rehabilitation Station,,,,237115,Accrued Interest –  Series GG Bonds  
1236,Sample Analyzer Replacement Water Lab,,,,237116,Accrued Interest –  Series HH Bonds  
1237,Voltage Regulator Replacement,,,,237120,Accrued Interest –  Wind Turbine Reimbursement  
1238,RCD Hydraulic Project,,,,241101,Tax Collections Payable  – FICA/Employee   
1239,Wind Turbine SCADA Control,,,,241102,Tax Collections Payable  – FICA/Employer   
1240,Warehouse 2 Remodel,,,,241103,Tax Collections Payable  – FIT   
1241,Time Entry System,,,,241104,Tax Collections Payable  – SIT   
1242,Rawhide Telephone Switch,,,,241105,Tax Collections Payable  – SALES   
1243,Control System Security,,,,241106,Tax Collections Payable  – Other State Taxes 
1244,Gaitronics Upgrade,,,,242102,Current and Accrued  Liability – Net PayrollPayable PayablePayable
1245,OSI PI Expansion,,,,242103,Current and Accrued  Liability – Employee VacationPayable PayablePayable
1246,Ash Reclaim Sulfuric Acid Tank Replacement,,,,242104,Current and Accrued  Liability – Employee SickLeave LeaveLeave
1247,Real Time Performance Monitor,,,,242105,Current and Accrued  Liability – Non-Exempt CTOPayable PayablePayable
1248,Circulating Water Pump Motor,,,,242106,Current and Accrued  Liability – Employee IncentivePayable PayablePayable
1249,SolarBee Circulators,,,,242107,Current and Accrued  Liability – Employee HolidayLeave LeaveLeave
1250,Dumper Control Upgrade,,,,242201,Retainage – General      
1251,Fiber Optic Generator Monitor,,,,242202,Current Portion of  Wind Turbine Reimbursement  
1252,Fire System Piping Replacement,,,,242301,Current Accrued Outage  Liability    
1253,Horsetooth Fresh Water Supply,,,,242302,Current Deferred Gain  on Sale of SO2Allowances AllowancesAllowances
1254,ID Fan Motor,,,,242402,Current Maturity –  Series EE Bonds Refunding 
1255,Jordan Drive Replacement,,,,242403,Current Maturity –  Series EE Bonds Reimburse 
1257,Rawhide Control Room Unit 1 Controls Training Simul0.00,,,,242405,Current Maturity –  Series GG Bonds  
1259,Roof Replacement at Rawhide,,,,242406,Current Maturity –  Series HH Bonds  
1260,Station Battery Chargers,,,,243101,Current Capitalized Lease  Obligation    
1262,Fire Training Tower Apron,,,,253101,Other Deferred Credits  – Miscellaneous   
1263,Windbox Damper Drives,,,,254101,Deferred Gains from  Disposition of Allowances  
1264,SDA Improvement Project,,,,403101,Depreciation Expense       
1265,Recycle Ash Broken Bag Monitor,,,,408101,Taxes Other Than  Income Tax FICA  
1266,Upgrade CEMS Cabinets,,,,408102,FICA Tax –  Administration and General  
1267,Resurface Fire Training Grounds,,,,408111,FICA Tax –  Administration and General –Training TrainingTraining
1268,Broken Bag Detectors on Large Emission Source Dust,,,,411800,Gains from Disposition  of SO2 Allowances  
1270,Replace Display Controller Unit for Flue Gas Flow M0.00,,,,414101,Other Utility Operating  Income    
1271,Vibration Monitoring,,,,417101,Non-Utility Revenue and  Expense    
1272,Bison Working Facility,,,,417102,Other Revenue –  REPI Credit   
1273,Air Heater Soot Blower Replacement,,,,417201,Non-Utility Operations –  Safety Projects   
1274,Soldier Canyon Pump Station Security,,,,417202,Non-Utility Operations –  Other Projects   
1275,Rawhide Pump Station Security,,,,419101,Interest and Dividend  Income – Revenue Fund 
1276,Silo Reinforcement,,,,419103,Interest and Dividend  Income – Payroll Fund 
1277,Fiber Install Rawhide 3rd Floor,,,,419104,Interest and Dividend  Income – General Fund 
1279,SCBA Air Compressor Replacement,,,,419111,Interest and Dividend  Income – Tri-State OperatingAgent AgentAgent
1280,Diesel Engine for Emergency Fire Pump,,,,419112,Interest and Dividend  Income – Trapper MineDividends DividendsDividends
1281,Front Gate Fiber Optic Relocation,,,,419113,Interest and Dividend  Income – Colotrust  
1282,High  & Low Pressure Compressor End Replacement,,,,419120,Interest and Dividend  Income – Western StatesPower PowerPower
1283,Auxiliary Boiler Controls,,,,419121,Interest and Dividend  Income – Trapper Mine 
1284,Chimney Platform Fall Protection,,,,419203,Interest and Dividend  Income – Reserve andContingency ContingencyContingency
1286,Coal Mill Motor,,,,419205,Interest and Dividend  Income – Rate StabilizationFund FundFund
1287,Filter Screens for CT Inlet Plenums,,,,419207,Interest and Dividend  Income – Debt ManagementReserve ReserveReserve
1288,HP/IP  Turbine,,,,419220,Interest and Dividend  Income – Bond ServiceFund/Series Fund/SeriesFund/Series
1289,Real Time LOI Monitoring,,,,419223,Interest and Dividend  Income – Construction AccountFund FundFund
1290,NERC Generator Owner/Operator Security Upgrades,,,,419224,Interest and Dividend  Income – Bond ServiceFund/Series Fund/SeriesFund/Series
1291,Rawhide Relay Room Refurbishment,,,,419225,Interest and Dividend  Income – Bond ServiceFund/Series Fund/SeriesFund/Series
1292,Audio/Visual Upgrades at Rawhide,,,,419226,Interest and Dividend  Income – Bond ProjectFund/Series Fund/SeriesFund/Series
1293,Rawhide Cabling,,,,419403,Market Value Adjustment  – Reserve and ContingencyFund FundFund
1294,SDA Elevator Rebuild,,,,419404,Market Value Adjustment  – General Fund  
1295,Coal Yard Ship Overhead Door,,,,419405,Market Value Adjustment  – Rate Stabilization Fund 
1296,Mercury Monitoring CEMS (Unit 101),,,,419407,Market Value Adjustment  – Debt Management ReserveFund FundFund
1297,CT's Data Acquisition & Handling System (DAHS) Upgr0.00,,,,419420,Market Value Adjustment  – Bond Service Fund/SeriesEE EEEE
1298,Backup EPM Sample Probe for CEMS System,,,,419423,Market Value Adjustment  – Construction Account Fund 
1300,CMB Remodel Project,,,,419425,Market Value Adjustment  – Bond Service Fund/SeriesGG GGGG
1301,Bi-Directional Amplification Antenna System,,,,419426,Market Value Adjustment  – Bond Service Fund/SeriesHH HHHH
1302,Thermal Imager,,,,419427,Market Value Adjustment  – Bond Project Fund/SeriesHH HHHH
1305,Reclaim Lighting,,,,421101,Miscellaneous Non-Operating Income  – Unrestricted   
1306,CT Gas Transmitter Upgrade,,,,426202,Other Income Deductions  – Deferred Debt  
1307,Replacement of Remaining Jordan Drives,,,,427113,Long-Term Debt Interest  – Series EE BondsRefunding RefundingRefunding
1309,4160 Volt Relays,,,,427114,Long-Term Debt Interest  – Series EE BondsReimburse ReimburseReimburse
1310,Move Temperature Control Panels,,,,427117,Long-Term Debt Interest  – Series GG Bonds 
1311,Coal Chute Conversion,,,,427118,Long-Term Debt Interest  – Series HH Bonds 
